repetition,tolerance,buffer_capacity_1,buffer_capacity_2,lambda_1_1,lambda_1_2,lambda_2,mu_1,mu_2,num_of_servers_1,num_of_servers_2,system_capacity_1,system_capacity_2,threshold_1,threshold_2,time_taken
61,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.840975761413574
62,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.860466480255127
63,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8381686210632324
64,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8790690898895264
65,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.834878444671631
66,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.841017007827759
67,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.838240623474121
68,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8535163402557373
69,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.849323272705078
70,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8361029624938965
71,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.660745859146118
72,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,3.9474384784698486
73,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,3.8718574047088623
74,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9677722454071045
75,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.7893946170806885
76,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.815645694732666
77,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9233052730560303
78,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.839759588241577
79,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9687697887420654
80,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.842918634414673
81,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8374738693237305
82,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.119139194488525
83,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,3.890981912612915
84,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.905986785888672
85,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8719289302825928
86,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8763015270233154
87,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8776161670684814
88,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8541579246520996
89,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8524858951568604
