repetition,tolerance,buffer_capacity_1,buffer_capacity_2,lambda_1_1,lambda_1_2,lambda_2,mu_1,mu_2,num_of_servers_1,num_of_servers_2,system_capacity_1,system_capacity_2,threshold_1,threshold_2,time_taken
22,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9478418827056885
23,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.935223340988159
24,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.960913181304932
25,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.953079700469971
26,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.940227746963501
27,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.952566862106323
28,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.93131947517395
29,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.954490423202515
30,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.945524454116821
31,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95063328742981
32,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9471659660339355
33,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.950646162033081
34,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.947424411773682
35,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9352126121521
36,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.940631628036499
37,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.939858436584473
38,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.937291860580444
39,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.975648880004883
40,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.944195985794067
41,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.958315849304199
42,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.94710111618042
43,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.940067768096924
44,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.941279172897339
45,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.960197687149048
46,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.956624507904053
47,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.943496227264404
48,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.948729038238525
49,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.943430185317993
50,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.924517631530762
51,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95279598236084
52,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.942792177200317
53,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.955061674118042
54,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.943897724151611
55,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.944617748260498
56,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.94671630859375
57,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95574951171875
58,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.949434757232666
59,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9565300941467285
60,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.965595245361328
61,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9444420337677
62,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.955459117889404
63,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95061993598938
64,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.952292442321777
65,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.942310810089111
66,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.940545558929443
67,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.951462745666504
68,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.955426454544067
69,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.965763807296753
70,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.945554494857788
71,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.965237140655518
72,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9439857006073
73,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.960824489593506
74,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.948315382003784
75,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.936731576919556
76,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.937020540237427
77,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.940887451171875
78,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.944780588150024
79,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.937723875045776
80,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.932273626327515
81,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.953347206115723
82,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.943375110626221
83,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.957343101501465
84,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.946570158004761
85,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.951985597610474
86,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.946893215179443
87,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.951260805130005
88,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.943689346313477
89,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.949623346328735
90,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.940556049346924
91,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.928273916244507
92,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.941812515258789
93,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,7.123601198196411
94,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.989934921264648
95,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.977243423461914
96,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.926348924636841
97,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.935449838638306
98,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.993878126144409
99,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.956831693649292
100,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.942996978759766
101,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.955694198608398
102,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,7.148093938827515
103,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.974838733673096
104,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.996555328369141
105,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.936361074447632
106,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.936814546585083
107,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.946226119995117
108,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.939944744110107
109,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.954895734786987
110,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.939333438873291
111,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9449827671051025
112,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.947927474975586
113,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.979466438293457
114,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.949353933334351
115,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.946469068527222
116,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.949954509735107
117,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9449217319488525
118,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.941797494888306
119,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.947641611099243
